robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
135.0,10.0,-270.0,0.0,0.0,180.0,-6.39,9.37,-184.09,-0.836,0.548,-0.004,0.017,0.08
135.0,10.0,-290.0,0.0,0.0,180.0,-6.73,9.14,-164.08,-0.835,0.549,-0.001,0.018,0.073
135.0,10.0,-310.0,0.0,0.0,180.0,-7.07,8.4,-144.53,-0.835,0.55,0.001,0.017,0.069
135.0,10.0,-330.0,0.0,0.0,180.0,-7.39,7.56,-124.63,-0.834,0.551,0.003,0.017,0.059
135.0,10.0,-350.0,0.0,0.0,180.0,-7.45,7.17,-104.62,-0.832,0.554,0.005,0.017,0.055
135.0,30.0,-250.0,0.0,0.0,180.0,-6.24,29.02,-203.61,-0.836,0.548,-0.007,0.016,0.098
135.0,30.0,-270.0,0.0,0.0,180.0,-6.44,28.83,-183.99,-0.835,0.55,-0.004,0.016,0.089
135.0,30.0,-290.0,0.0,0.0,180.0,-6.81,28.68,-163.89,-0.834,0.55,-0.002,0.017,0.087
135.0,30.0,-310.0,0.0,0.0,180.0,-7.12,28.06,-144.31,-0.834,0.551,0.001,0.016,0.086
135.0,30.0,-330.0,0.0,0.0,180.0,-7.36,27.6,-124.41,-0.833,0.552,0.004,0.017,0.079
135.0,30.0,-350.0,0.0,0.0,180.0,-7.57,26.85,-104.27,-0.831,0.555,0.006,0.018,0.07
135.0,50.0,-250.0,0.0,0.0,180.0,-6.39,48.5,-203.57,-0.836,0.548,-0.007,0.015,0.091
135.0,50.0,-270.0,0.0,0.0,180.0,-6.55,48.32,-183.8,-0.835,0.55,-0.004,0.015,0.086
135.0,50.0,-290.0,0.0,0.0,180.0,-6.92,47.96,-163.88,-0.834,0.551,-0.002,0.016,0.086
135.0,50.0,-310.0,0.0,0.0,180.0,-7.29,47.65,-144.03,-0.833,0.552,0.001,0.016,0.091
135.0,50.0,-330.0,0.0,0.0,180.0,-7.49,47.32,-124.08,-0.832,0.554,0.004,0.017,0.089
135.0,50.0,-350.0,0.0,0.0,180.0,-7.6,46.75,-104.02,-0.831,0.555,0.006,0.018,0.08
155.0,-50.0,-250.0,0.0,0.0,180.0,-26.2,-49.7,-204.36,-0.847,0.531,-0.006,0.018,0.14
155.0,-50.0,-270.0,0.0,0.0,180.0,-26.17,-50.37,-184.88,-0.845,0.534,-0.004,0.019,0.113
155.0,-50.0,-290.0,0.0,0.0,180.0,-26.38,-50.66,-165.04,-0.843,0.537,-0.003,0.02,0.091
155.0,-50.0,-310.0,0.0,0.0,180.0,-26.34,-51.44,-145.66,-0.842,0.539,-0.0,0.02,0.07
155.0,-50.0,-330.0,0.0,0.0,180.0,-26.5,-51.76,-125.84,-0.84,0.542,0.002,0.023,0.046
155.0,-50.0,-350.0,0.0,0.0,180.0,-26.39,-52.74,-106.03,-0.836,0.548,0.005,0.022,0.02
155.0,-30.0,-250.0,0.0,0.0,180.0,-25.79,-29.71,-204.25,-0.846,0.533,-0.007,0.019,0.123
155.0,-30.0,-270.0,0.0,0.0,180.0,-25.91,-30.33,-184.84,-0.843,0.537,-0.004,0.02,0.094
155.0,-30.0,-290.0,0.0,0.0,180.0,-26.14,-30.6,-164.95,-0.841,0.541,-0.002,0.021,0.071
155.0,-30.0,-310.0,0.0,0.0,180.0,-26.37,-31.27,-145.4,-0.84,0.542,0.001,0.021,0.056
