robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
260.0,-20.0,175.0,-180.0,0.0,-0.0,-46.28,-26.04,-183.57,0.503,0.863,-0.005,0.049,0.168
260.0,-10.0,75.0,-180.0,-0.0,-0.0,51.21,-15.14,-182.41,0.524,0.851,-0.008,0.043,0.094
260.0,-10.0,85.0,-180.0,-0.0,-0.0,41.58,-15.01,-182.76,0.523,0.851,-0.007,0.044,0.092
260.0,-10.0,95.0,-180.0,0.0,-0.0,31.8,-15.31,-182.71,0.524,0.85,-0.007,0.045,0.093
260.0,-10.0,105.0,-180.0,-0.0,-0.0,22.04,-15.32,-182.85,0.524,0.851,-0.006,0.045,0.095
260.0,-10.0,115.0,-180.0,0.0,-0.0,12.26,-15.57,-182.73,0.524,0.85,-0.007,0.047,0.098
260.0,-10.0,125.0,-180.0,-0.0,-0.0,2.45,-15.71,-182.98,0.523,0.851,-0.006,0.047,0.102
260.0,-10.0,135.0,-180.0,0.0,-0.0,-7.17,-15.74,-183.18,0.522,0.852,-0.006,0.047,0.11
260.0,-10.0,145.0,-180.0,-0.0,-0.0,-16.86,-16.01,-183.13,0.52,0.852,-0.005,0.049,0.12
260.0,-10.0,155.0,-180.0,0.0,-0.0,-26.59,-15.99,-183.42,0.517,0.854,-0.004,0.049,0.132
260.0,-10.0,165.0,-180.0,-0.0,-0.0,-36.22,-16.06,-183.66,0.513,0.857,-0.005,0.05,0.144
260.0,-10.0,175.0,-180.0,-0.0,-0.0,-46.22,-16.36,-183.91,0.507,0.86,-0.005,0.05,0.164
260.0,-0.0,75.0,-180.0,0.0,-0.0,51.23,-5.36,-182.8,0.523,0.851,-0.008,0.044,0.096
260.0,-0.0,85.0,-180.0,0.0,-0.0,41.53,-5.41,-183.15,0.523,0.851,-0.008,0.044,0.096
260.0,-0.0,95.0,-180.0,-0.0,-0.0,31.75,-5.58,-183.12,0.524,0.85,-0.007,0.045,0.097
260.0,-0.0,105.0,-180.0,0.0,-0.0,22.05,-5.69,-183.26,0.524,0.85,-0.007,0.045,0.097
260.0,-0.0,115.0,-180.0,0.0,-0.0,12.29,-5.76,-183.12,0.524,0.85,-0.007,0.047,0.101
260.0,-0.0,125.0,-180.0,-0.0,-0.0,2.51,-5.87,-183.38,0.524,0.85,-0.007,0.047,0.107
260.0,-0.0,135.0,-180.0,0.0,-0.0,-7.14,-6.03,-183.56,0.523,0.851,-0.006,0.047,0.116
260.0,-0.0,145.0,-180.0,0.0,-0.0,-16.79,-5.98,-183.52,0.521,0.852,-0.005,0.048,0.124
260.0,-0.0,155.0,-180.0,-0.0,-0.0,-26.55,-6.2,-183.77,0.52,0.852,-0.005,0.05,0.135
260.0,-0.0,165.0,-180.0,0.0,-0.0,-36.15,-6.17,-183.99,0.517,0.855,-0.004,0.05,0.145
260.0,-0.0,175.0,-180.0,-0.0,-0.0,-46.08,-6.45,-184.29,0.513,0.857,-0.005,0.051,0.154
260.0,10.0,75.0,-180.0,0.0,-0.0,51.26,4.47,-183.2,0.523,0.851,-0.009,0.044,0.098
260.0,10.0,85.0,-180.0,0.0,-0.0,41.51,4.36,-183.54,0.523,0.851,-0.01,0.044,0.098
260.0,10.0,95.0,-180.0,-0.0,-0.0,31.74,4.41,-183.49,0.523,0.851,-0.008,0.045,0.101
260.0,10.0,105.0,-180.0,0.0,-0.0,22.02,4.08,-183.62,0.524,0.85,-0.008,0.045,0.103
260.0,10.0,115.0,-180.0,-0.0,-0.0,12.25,4.02,-183.5,0.524,0.85,-0.008,0.047,0.106
260.0,10.0,125.0,-180.0,0.0,-0.0,2.43,3.88,-183.69,0.524,0.85,-0.008,0.047,0.112
